Year,Month,Population at the end of period,Population growth1,Live births,Still births,Deaths,Population surplus,Immigrants,Emigrants,Surplus of immigrants,Date
2019,January,10242296,12111,9620,41,8372,1248,11858,4293,7565,2019-01-01
2019,February,10250006,7710,8821,30,7487,1334,9720,3344,6376,2019-02-01
2019,March,10258037,8031,9811,36,7791,2020,9528,3517,6011,2019-03-01
2019,April,10265728,7691,10064,29,7373,2691,8249,3249,5000,2019-04-01
2019,May,10274848,9120,10278,34,7147,3131,9380,3391,5989,2019-05-01
2019,June,10283376,8528,10014,31,6634,3380,9231,4083,5148,2019-06-01
2019,July,10293587,10211,10478,35,6944,3534,10640,3963,6677,2019-07-01
2019,August,10306196,12609,10241,31,7031,3210,14734,5335,9399,2019-08-01
2019,September,10315994,9798,9338,31,6855,2483,11763,4448,7315,2019-09-01
2019,October,10321893,5899,9351,35,7536,1815,8488,4404,4084,2019-10-01
2019,November,10325886,3993,8431,21,7438,993,6937,3937,3000,2019-11-01
2019,December,10327589,1703,8076,13,7896,180,5277,3754,1523,2019-12-01
2020,January,10336343,8754,9677,26,8348,1329,8953,4446,4507,2020-01-01
2020,February,10341330,4987,8954,21,7541,1413,7604,4030,3574,2020-02-01
2020,March,10345470,4140,9646,37,8557,1089,6962,3911,3051,2020-03-01
2020,April,10346162,692,9713,36,10555,-842,4149,2615,1534,2020-04-01
2020,May,10348998,2836,10408,22,8921,1487,4144,2795,1349,2020-05-01
2020,June,10352965,3967,9877,38,7440,2437,5413,3883,1530,2020-06-01
2020,July,10360826,7861,10119,28,7080,3039,8913,4091,4822,2020-07-01
2020,August,10371197,10371,9959,35,6968,2991,12192,4812,7380,2020-08-01
2020,September,10377885,6688,9323,29,6772,2551,9103,4966,4137,2020-09-01
2020,October,10382090,4205,9174,34,7281,1893,6805,4493,2312,2020-10-01
2020,November,10382275,185,8194,19,8220,-26,4912,4701,211,2020-11-01
2020,December,10379295,-2980,8033,28,10187,-2154,3368,4194,-826,2020-12-01
2021,January,10389134,9839,9071,42,10180,-1109,7097,4239,2858,2021-01-01
2021,February,10392954,3820,8989,23,7558,1431,6089,3700,2389,2021-02-01
2021,March,10398007,5053,10067,34,7809,2258,7011,4216,2795,2021-03-01
2021,April,10403311,5304,9823,31,7316,2507,6430,3633,2797,2021-04-01
2021,May,10409352,6041,10322,35,7265,3057,6540,3556,2984,2021-05-01
2021,June,10416550,7198,10216,31,6609,3607,7636,4045,3591,2021-06-01
2021,July,10424936,8386,10325,39,7021,3304,8902,3820,5082,2021-07-01
2021,August,10436560,11624,10082,22,7035,3047,13095,4518,8577,2021-08-01
2021,September,10444467,7907,9419,28,7161,2258,10795,5146,5649,2021-09-01
2021,October,10449882,5415,9316,26,7541,1775,7901,4261,3640,2021-10-01
2021,November,10452404,2522,8492,29,7632,860,5250,3588,1662,2021-11-01
2021,December,10452326,-78,8141,27,8542,-401,3885,3562,323,2021-12-01
2022,January,10463422,11096,8918,28,9185,-267,8067,3836,4231,2022-01-01
2022,February,10468192,4770,8546,26,8227,319,7745,3294,4451,2022-02-01
2022,March,10473940,5748,9194,30,8052,1142,8418,3812,4606,2022-03-01
2022,April,10479640,5700,8816,25,7311,1505,7502,3307,4195,2022-04-01
2022,May,10486264,6624,9581,27,7321,2260,7815,3451,4364,2022-05-01
2022,June,10492883,6619,9531,24,7034,2497,8235,4113,4122,2022-06-01
2022,July,10499430,6547,9232,34,7366,1866,8743,4062,4681,2022-07-01
2022,August,10509402,9972,9368,26,7566,1802,14586,6416,8170,2022-08-01
2022,September,10514895,5493,8374,24,7381,993,10289,5789,4500,2022-09-01
2022,October,10518309,3414,8147,30,7592,555,7355,4496,2859,2022-10-01
2022,November,10520558,2249,7504,28,7597,-93,6129,3787,2342,2022-11-01
