year,month,births,population,surplus,jab1,Date,jab2,jab3,cpi,jabs,Women
19,1,9620.0,10.242296,7565.0,0.0,2019-01-01,0.0,0.0,1.9,0.0,2.19189
19,2,8821.0,10.250006,6376.0,0.0,2019-02-01,0.0,0.0,1.9,0.0,2.194066
19,3,9811.0,10.258037,6011.0,0.0,2019-03-01,0.0,0.0,1.9,0.0,2.196017
19,4,10064.0,10.265728,5000.0,0.0,2019-04-01,0.0,0.0,2.1,0.0,2.197818
19,5,10278.0,10.274848,5989.0,0.0,2019-05-01,0.0,0.0,2.2,0.0,2.199551
19,6,10014.0,10.283376,5148.0,0.0,2019-06-01,0.0,0.0,1.8,0.0,2.201131
19,7,10478.0,10.293587,6677.0,0.0,2019-07-01,0.0,0.0,1.7,0.0,2.20305
19,8,10241.0,10.306196,9399.0,0.0,2019-08-01,0.0,0.0,1.4,0.0,2.206455
19,9,9338.0,10.315994,7315.0,0.0,2019-09-01,0.0,0.0,1.5,0.0,2.209387
19,10,9351.0,10.321893,4084.0,0.0,2019-10-01,0.0,0.0,1.6,0.0,2.21079
19,11,8431.0,10.325886,3000.0,0.0,2019-11-01,0.0,0.0,1.8,0.0,2.211973
19,12,8076.0,10.327589,1523.0,0.0,2019-12-01,0.0,0.0,1.8,0.0,2.213241
20,1,9677.0,10.336343,4507.0,0.0,2020-01-01,0.0,0.0,1.3,0.0,2.2075
20,2,8954.0,10.34133,3574.0,0.0,2020-02-01,0.0,0.0,1.0,0.0,2.208688
20,3,9646.0,10.34547,3051.0,0.0,2020-03-01,0.0,0.0,0.6,0.0,2.209907
20,4,9713.0,10.346162,1534.0,0.0,2020-04-01,0.0,0.0,-0.4,0.0,2.210797
20,5,10408.0,10.348998,1349.0,0.0,2020-05-01,0.0,0.0,0.0,0.0,2.211272
20,6,9877.0,10.352965,1530.0,0.0,2020-06-01,0.0,0.0,0.7,0.0,2.211634
20,7,10119.0,10.360826,4822.0,0.0,2020-07-01,0.0,0.0,0.5,0.0,2.212747
20,8,9959.0,10.371197,7380.0,0.0,2020-08-01,0.0,0.0,0.8,0.0,2.215178
20,9,9323.0,10.377885,4137.0,0.0,2020-09-01,0.0,0.0,0.4,0.0,2.216658
20,10,9174.0,10.38209,2312.0,0.0,2020-10-01,0.0,0.0,0.3,0.0,2.217858
20,11,8194.0,10.382275,211.0,0.0,2020-11-01,0.0,0.0,0.2,0.0,2.218963
20,12,8033.0,10.379295,-826.0,0.0,2020-12-01,0.0,0.0,0.5,0.0,2.219492
21,1,9071.0,10.389134,2858.0,0.0,2021-01-01,0.0,0.0,1.6,0.0,2.213263
21,2,8989.0,10.392954,2389.0,0.0,2021-02-01,0.0,0.0,1.4,0.0,2.214568
21,3,10067.0,10.398007,2795.0,0.0,2021-03-01,0.0,0.0,1.7,0.0,2.215357
21,4,9823.0,10.403311,2797.0,0.008,2021-04-01,0.0,0.0,2.2,0.008,2.216331
21,5,10322.0,10.409352,2984.0,0.0568,2021-05-01,0.0028,0.0,1.8,0.0596,2.217837
21,6,10216.0,10.41655,3591.0,0.1592,2021-06-01,0.0112,0.0,1.3,0.1704,2.219026
21,7,10325.0,10.424936,5082.0,0.2928,2021-07-01,0.0462,0.0,1.4,0.339,2.220484
21,8,10082.0,10.43656,8577.0,0.4864,2021-08-01,0.1505,0.0,2.1,0.6369,2.223588
21,9,9419.0,10.444467,5649.0,0.6504,2021-09-01,0.3052,0.0,2.5,0.9556,2.225893
21,10,9316.0,10.449882,3640.0,0.7504,2021-10-01,0.476,0.0,2.8,1.2264,2.227918
21,11,8492.0,10.452404,1662.0,0.7832,2021-11-01,0.6048,0.0,3.3,1.388,2.229677
21,12,8141.0,10.452326,323.0,0.7968,2021-12-01,0.672,0.00405,3.9,1.47285,2.231016
22,1,8918.0,10.463422,4231.0,0.8,2022-01-01,0.6937,0.02295,3.7,1.51665,2.225934
22,2,8546.0,10.468192,4451.0,0.8,2022-02-01,0.7,0.0648,4.3,1.5648,2.227606
22,3,9194.0,10.47394,4606.0,0.8,2022-03-01,0.7,0.1593,6.0,1.6593,2.229314
22,4,8816.0,10.47964,4195.0,0.8,2022-04-01,0.7,0.28305,6.4,1.78305,2.231107
22,5,9581.0,10.486264,4364.0,0.8,2022-05-01,0.7,0.38295,7.3,1.88295,2.232617
22,6,9531.0,10.492883,4122.0,0.8,2022-06-01,0.7,0.4302,8.7,1.9302,2.233776
22,7,9232.0,10.49943,4681.0,0.8,2022-07-01,0.7,0.44685,8.5,1.94685,2.235168
22,8,9368.0,10.509402,8170.0,0.8,2022-08-01,0.7,0.4491,9.8,1.9491,2.238411
22,9,8374.0,10.514895,4500.0,0.8,2022-09-01,0.7,0.45,10.8,1.95,2.240278
22,10,8147.0,10.518309,2859.0,0.8,2022-10-01,0.7,0.46,10.9,1.96,2.242248
22,11,7504.0,10.520558,2342.0,0.8,2022-11-01,0.7,0.47,11.5,1.97,2.244311
22,12,7522.0,10.521556,1104.0,0.8,2022-12-01,0.7,0.48,12.3,1.98,2.245615
23,1,,,,0.8,2023-01-01,0.7,0.49,11.7,1.99,
